timestamp,value
1465948809,16.000000
1465948869,16.000000
1465948929,18.000000
1465948989,15.000000
1465949049,17.000000
1465949109,15.000000
1465949169,18.000000
1465949229,15.000000
1465949289,17.000000
1465949349,15.000000
1465949409,19.000000
1465949469,15.000000
1465949529,17.000000
1465949589,21.000000
1465949649,18.000000
1465949709,15.000000
1465949769,17.000000
1465949829,15.000000
1465949889,19.000000
1465949949,15.000000
1465950009,16.000000
1465950069,15.000000
1465950129,18.000000
1465950189,15.000000
1465950249,17.000000
1465950309,16.000000
1465950369,18.000000
1465950429,15.000000
1465950489,16.000000
1465950549,15.000000
1465950609,18.000000
1465950669,15.000000
1465950729,17.000000
1465950789,15.000000
1465950849,21.000000
1465950909,17.000000
1465950969,16.000000
1465951029,15.000000
1465951089,18.000000
1465951149,15.000000
1465951209,16.000000
1465951269,15.000000
1465951329,18.000000
1465951389,15.000000
1465951449,16.000000
1465951509,15.000000
1465951569,18.000000
1465951629,17.000000
1465951689,16.000000
1465951749,15.000000
1465951809,20.000000
1465951869,25.000000
1465951929,29.000000
1465951989,16.000000
1465952049,18.000000
1465952109,21.000000
1465952169,16.000000
1465952229,17.000000
1465952289,24.000000
1465952349,22.000000
1465952409,16.000000
1465952469,15.000000
1465952529,19.000000
1465952589,19.000000
1465952649,17.000000
1465952709,20.000000
1465952769,32.000000
1465952829,18.000000
1465952889,26.000000
1465952949,18.000000
1465953009,23.000000
1465953069,25.000000
1465953129,21.000000
1465953189,18.000000
1465953249,34.000000
1465953309,36.000000
1465953369,22.000000
1465953429,20.000000
1465953489,21.000000
1465953549,18.000000
1465953609,19.000000
1465953669,26.000000
1465953729,28.000000
1465953789,22.000000
1465953849,18.000000
1465953909,18.000000
1465953969,22.000000
1465954029,30.000000
1465954089,29.000000
1465954149,22.000000
1465954209,28.000000
1465954269,22.000000
1465954329,20.000000
1465954389,20.000000
1465954449,26.000000
1465954509,24.000000
1465954569,34.000000
1465954629,23.000000
1465954689,24.000000
1465954749,19.000000
1465954809,30.000000
1465954869,23.000000
1465954929,25.000000
1465954989,18.000000
1465955049,30.000000
1465955109,23.000000
1465955169,42.000000
1465955229,31.000000
1465955289,31.000000
1465955349,23.000000
1465955409,21.000000
1465955469,16.000000
1465955529,23.000000
1465955589,20.000000
1465955649,26.000000
1465955709,25.000000
1465955769,28.000000
1465955829,18.000000
1465955889,20.000000
1465955949,15.000000
1465956009,21.000000
1465956069,17.000000
1465956129,21.000000
1465956189,17.000000
1465956249,22.000000
1465956309,17.000000
1465956369,19.000000
1465956429,17.000000
1465956489,20.000000
1465956549,16.000000
1465956609,19.000000
1465956669,21.000000
1465956729,20.000000
1465956789,24.000000
1465956849,19.000000
1465956909,18.000000
1465956969,23.000000
1465957029,16.000000
1465957089,20.000000
1465957149,19.000000
1465957209,22.000000
1465957269,18.000000
1465957329,21.000000
1465957389,19.000000
1465957449,21.000000
1465957509,16.000000
1465957569,19.000000
1465957629,17.000000
1465957689,21.000000
1465957749,16.000000
1465957809,18.000000
1465957869,16.000000
1465957929,20.000000
1465957989,16.000000
1465958049,18.000000
1465958109,17.000000
1465958169,21.000000
1465958229,16.000000
1465958289,18.000000
1465958349,23.000000
1465958409,22.000000
1465958469,17.000000
1465958529,19.000000
1465958589,19.000000
1465958649,23.000000
1465958709,18.000000
1465958769,19.000000
1465958829,16.000000
1465958889,22.000000
1465958949,16.000000
